Upregulated,Downregulated
4930486L24Rik,2310022B05Rik
AA467197,2510042H12Rik
Acp2,4930426D05Rik
Aldoa,Abcc3
Angptl4,Acadm
Aoah,Acss1
Asprv1,Adam23
Ass1,AI467606
Atf5,Alas2
Batf,Apoe
Batf2,Apol7c
C3,Arhgap4
C4b,Arhgef6
Car13,Bnip3l
Casp4,Ccdc80
Ccl2,Cirbp
Ccl3,Ckb
Ccl4,Clec4g
Ccl7,Coch
Ccl9,Crip2
Ccrl2,Cx3cr1
Cd14,Cyp27a1
Cd274,Dennd3
Cd63,Dmpk
Cdkn1a,Esm1
Cebpb,Fam78a
Cfb,Fbrsl1
Ch25h,Fcer2a
Clcn7,Fcgrt
Clec4a1,Fcna
Clec4d,Fhl1
Clec4e,Fn1
Cmpk2,Fnbp1
Col4a1,Gas6
Cp,Gdf10
Creld2,Gja1
Cst7,Gm2a
Cstb,Gng10
Ctsz,H2-Ke6
Cxcl1,Hcst
Cxcl10,Hist1h1c
Cxcl16,Hpgd
Cxcl2,Igfbp5
Cxcl9,Itgad
Ddit4,Klf2
Dhx58,Limch1
Dnah2,Ltbp4
Dram1,Lynx1
Dusp1,Man2b1
Dusp16,Mef2c
Ebi3,Mrc1
Edn1,Mycl
Eif2ak2,Nedd9
Enc1,Nrep
Errfi1,Nrm
F10,Pcdh12
Fam129b,Pisd-ps1
Fam26f,Pld4
Fas,Prelp
Fblim1,Rhof
Fcgr4,Rims3
Fkbp5,Sdpr
Fpr2,Sepp1
Gadd45b,Slc12a2
Gadd45g,Slc12a6
Gas7,Slc40a1
Gbp10,Slc46a3
Gbp2,Slc4a1
Gbp2b,Spon2
Gbp3,Sspn
Gbp5,St6gal1
Gbp7,Sun2
Gdf15,Swap70
Glrx,Tcf21
Gm4951,Timp2
Gng12,Tmem204
Gpnmb,Tnxb
Gpr84,Trf
Gpx3,Txnip
Gvin1,Vpreb3
H2-T23,Ypel3
Hcar2,
Hilpda,
Hk3,
Hmox1,
Hspb1,
Hspb8,
Hsph1,
Icam1,
Ier3,
Ifi47,
Ifit2,
Ifitm1,
Ifitm3,
Ifng,
Igtp,
Ikbke,
Il10,
Il1b,
Il1r2,
Il1rn,
Irak3,
Irf7,
Irgm1,
Irgm2,
Itga5,
Jdp2,
Lacc1,
Lcn2,
Lgals1,
Lgals3,
Lilrb4,
Lox,
Lrg1,
Lrrc59,
Luzp1,
Ly6a,
Ly6c1,
Marco,
Mefv,
Mif,
Mlkl,
Mmp14,
Mmp3,
Mrap,
Mrgpra2b,
Mrgpra7,
Ms4a6d,
Ms4a7,
Msrb1,
Mt1,
Mydgf,
Nfkbiz,
Nupr1,
Oas1g,
Oas2,
Oasl1,
Oasl2,
Pdk4,
Pex11a,
Pfkl,
Pgk1,
Phf11d,
Pkm,
Pla1a,
Plin2,
Plod3,
Por,
Ppa1,
Prdx5,
Psmb1,
Psmb10,
Ptpn1,
Pvrl2,
Rab32,
Rarres2,
Rnf213,
Rrbp1,
Saa3,
Samhd1,
Sct,
Sdc4,
Sdf2l1,
Serpina3f,
Serpina3g,
Serpina3n,
Serping1,
Serpinh1,
Slc11a1,
Slc15a3,
Slc2a6,
Slc7a11,
Slfn1,
Slfn2,
Smpdl3b,
Snx10,
Socs3,
Sod2,
Tgm2,
Tgtp1,
Timp1,
Tlr2,
Tmem106a,
Tmem119,
Tmem2,
Tnf,
Tnfaip2,
Tnfaip3,
Tnip1,
Tpi1,
Tspo,
Tubb6,
Ubd,
Upp1,
Usp18,
Vmp1,
Wars,
Wdr92,
Wfdc17,
Xdh,
